artist,genre,festivals
"""Weird Al"" Yankovic",Pop,"[u'Governors Ball', u'Summerfest']"
**More to be announced**,,[u'Newport Folk']
311,Rock,"[u'SweetWater 420', u'SunFest']"
500 Miles to Memphis,Rock,[u'Bunbury']
68,Rock,[u'Welcome to Rockville']
A Course of Action,Rock,[u'Rocklahoma']
A Day To Remember,Rock,[u'Summerfest']
A Light Within,Rock,[u'Middle of the Map']
A$AP Ferg,Hip-hop,[u'Pitchfork']
A$AP Rocky,Hip-hop,[u'Lollapalooza']
A-Trak,EDM,[u'Governors Ball']
A.G. Cook,EDM,[u'Pitchfork']
AB-Soul,Hip-hop,"[u'Coachella', u'Sasquatch!']"
AC/DC,Rock,[u'Coachella']
AN21,EDM,[u'Rock in Rio USA - Rock Weekend']
ANTEMASQUE,Rock,[u'Coachella']
ASTR,EDM,[u'Governors Ball']
AWOLNATION,Rock,"[u'SunFest', u'Bonnaroo', u'Firefly', u'Summerfest']"
Aaron Neville,R&B,[u'New Orleans Jazz & Heritage Fes']
Action Bronson,Hip-hop,"[u'Coachella', u'Sasquatch!']"
Active Child,EDM,[u'Lightning in a Bottle']
Adam Capps,Country,[u'Kicker Country Stampede']
Admiral Of The Red,Rock,[u'Middle of the Map']
Adrian Marcel,Hip-hop,[u'Essence']
Adventure Club,EDM,"[u'Hangout', u'Spring Awakening']"
Aer,Reggae,[u'SweetWater 420']
Aero Chord,EDM,[u'Spring Awakening']
Afrojack,EDM,[u'Spring Awakening']
Against Me!,Rock,[u'Bonnaroo']
Alabama Shakes,Rock,"[u'Coachella', u'Bonnaroo', u'Lollapalooza']"
Alan Jackson,Country,[u'CMA Fest']
Alesso,EDM,"[u'Coachella', u'Lollapalooza']"
Alex Bleeker & The Freaks,Indie,[u'Outside Lands']
Alison Krauss & Union Station,Americana,[u'New Orleans Jazz & Heritage Fes']
Alison Wonderland,EDM,"[u'Coachella', u'Firefly', u'Electric Forest', u'Lollapalooza']"
All That Remains,Metal,[u'Welcome to Rockville']
Allah-Las,Indie,"[u'Coachella', u'Outside Lands']"
Allen Toussaint,Jazz,[u'New Orleans Jazz & Heritage Fes']
Aloe Blacc,Hip-hop,[u'Summerfest']
